tick	steer	gas	brake
568	-64	1	1
569	-64	1	1
570	-64	1	1
571	-64	1	1
572	-64	1	1
573	-64	1	1
574	-64	1	1
575	-64	1	1
576	-64	1	1
577	-64	1	1
578	-64	1	1
579	-64	1	1
580	-64	1	1
581	-64	1	1
582	-64	1	1
583	-64	1	1
584	-64	1	1
585	-64	1	1
586	-64	1	1
587	-64	1	1
588	-64	1	1
589	-64	1	1
590	-64	1	1
591	-64	1	1
592	-64	1	1
593	-64	1	1
594	-64	1	1
595	-64	1	1
596	-64	1	1
597	-64	1	1
598	-64	1	1
599	-64	1	1
600	-64	1	1
601	-64	1	1
602	-64	1	1
603	-64	1	1
604	-64	1	1
605	-64	1	1
606	-64	1	1
607	-64	1	1
608	-64	1	1
609	-64	1	1
610	-64	1	1
611	-64	1	1
612	-64	1	1
613	-64	1	1
614	-64	1	1
615	-64	1	1
616	-64	1	1
617	-64	1	1
618	-64	1	1
619	-64	1	1
620	-64	1	1
621	-64	1	1
622	-64	1	1
623	-64	1	1
624	-64	0	0
625	-64	0	0
626	-64	0	0
627	-64	0	0
628	-64	0	0
629	-64	0	0
630	-64	0	0
631	-64	0	0
632	-64	0	0
633	-64	0	0
634	-64	0	0
635	-64	0	0
636	-64	0	0
637	-64	0	0
638	-64	0	0
639	-64	0	0
640	-64	0	0
641	-64	0	0
642	-64	0	0
643	-64	0	0
644	-64	0	0
645	-64	0	0
646	-64	0	0
647	-64	0	0
648	64	1	1
649	64	1	1
650	64	1	1
651	64	1	1
652	64	1	1
653	64	1	1
654	64	1	1
655	64	1	1
656	64	1	1
657	64	1	1
658	64	1	1
659	64	1	1
660	64	1	1
661	64	1	1
662	64	1	1
663	64	1	1
664	64	1	1
665	64	1	1
666	64	1	1
667	64	1	1
668	64	1	1
669	64	1	1
670	64	1	1
671	64	1	1
672	64	1	1
673	64	1	1
674	64	1	1
675	64	1	1
676	64	1	1
677	64	1	1
678	64	1	1
679	64	1	1
680	64	1	1
681	64	1	1
682	64	1	1
683	64	1	1
684	-64	1	0
685	-64	1	0
686	-64	1	0
687	-64	1	0
688	-64	1	0
689	-64	1	0
690	-64	1	0
691	-64	1	0
692	-64	1	0
693	-64	1	0
694	-64	1	0
695	-64	1	0
696	0	0	0
697	0	0	0
698	0	0	0
699	0	0	0
700	0	0	0
701	0	0	0
702	0	0	0
703	0	0	0
704	0	0	0
705	0	0	0
706	0	0	0
707	0	0	0
708	0	0	0
709	0	0	0
710	0	0	0
711	0	0	0
712	0	0	0
713	0	0	0
714	0	0	0
715	0	0	0
716	0	0	0
717	0	0	0
718	0	0	0
719	0	0	0
720	0	0	0
721	0	0	0
722	0	0	0
723	0	0	0
724	0	0	0
725	0	0	0
726	0	0	0
727	0	0	0
728	0	0	0
729	0	0	0
730	0	0	0
731	0	0	0
732	0	0	0
733	0	0	0
734	0	0	0
735	0	0	0
736	0	0	0
737	0	0	0
738	0	0	0
739	0	0	0
740	0	0	0
741	0	0	0
742	0	0	0
743	0	0	0
744	-127	0	1
745	-127	0	1
746	-127	0	1
747	-127	0	1
748	-127	0	1
749	-127	0	1
750	-127	0	1
751	-127	0	1
752	-127	0	1
753	-127	0	1
754	-127	0	1
755	-127	0	1
756	127	1	1
757	127	1	1
758	127	1	1
759	127	1	1
760	127	1	1
761	127	1	1
762	127	1	1
763	127	1	1
764	127	1	1
765	127	1	1
766	127	1	1
767	127	1	1
768	64	0	1
769	64	0	1
770	64	0	1
771	64	0	1
772	64	0	1
773	64	0	1
774	64	0	1
775	64	0	1
776	64	0	1
777	64	0	1
778	64	0	1
779	64	0	1
780	64	0	1
781	64	0	1
782	64	0	1
783	64	0	1
784	64	0	1
785	64	0	1
786	64	0	1
787	64	0	1
788	64	0	1
789	64	0	1
790	64	0	1
791	64	0	1
792	0	1	1
793	0	1	1
794	0	1	1
795	0	1	1
796	0	1	1
797	0	1	1
798	0	1	1
799	0	1	1
800	0	1	1
801	0	1	1
802	0	1	1
803	0	1	1
804	127	1	0
805	127	1	0
806	127	1	0
807	127	1	0
808	127	1	0
809	127	1	0
810	127	1	0
811	127	1	0
812	127	1	0
813	127	1	0
814	127	1	0
815	127	1	0
816	127	1	0
817	127	1	0
818	127	1	0
819	127	1	0
820	127	1	0
821	127	1	0
822	127	1	0
823	127	1	0
824	127	1	0
825	127	1	0
