# completing-run time differences, 2021-05-31 -> 2021-06-08
# delta_ms = resim(2021-06-08) - resim(2021-05-31); positive = the same inputs finish SLOWER on 2021-06-08
replay	declared_ms	resim_a_ms	resim_b_ms	delta_ms	map_uid
2021-06-01_17_46__56007.Replay.Gbx	9533	9533	9538	5	_oMKNgRlOI5OHz5Fg2LiPNVfC7b
2021-07-08_10_19__45778.Replay.Gbx	18081	18075	18081	6	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2020-09-10_18_08__3362.Replay.Gbx	11747	11747	11754	7	DyNBxhQ6006991FwvVOaBX9Gcv1
2021-01-07_18_56__23103.Replay.Gbx	22948	22948	22955	7	TT6wX0GuWhxePDAFa3oXcCwVpda
2021-06-03_13_02__49709.Replay.Gbx	11798	11798	11805	7	OeJCW8sHENIcYscK8o5zVHAxADd
2021-06-12_17_56__45746.Replay.Gbx	16414	16405	16414	9	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-03-01_15_48__35341.Replay.Gbx	8277	8277	8287	10	vTqUpE1iiXupNABp5Mfx0YOf33j
2021-01-20_18_40__67286.Replay.Gbx	9826	9826	9838	12	1gBRKXaec_u6J09bc9zzUVYJdpb
2021-01-22_14_32__24318.Replay.Gbx	8880	8880	8892	12	RifafWipVfAnc3QNgkH15W5HHWd
2020-11-05_16_41__13827.Replay.Gbx	10545	10545	10558	13	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-01-22_14_32__24340.Replay.Gbx	9538	9538	9551	13	Sh0Wn3XR1to1p0BA91drETfmK10
2021-07-06_18_45__45760.Replay.Gbx	12191	12178	12191	13	eOA1X_xnvKbdDSuyymweOZzSrQ3
2020-12-09_10_00__18049.Replay.Gbx	7335	7335	7352	17	ga3zTKvSo7yJca60Ry_Z003L031
2021-08-25_15_46__51097.Replay.Gbx	11028	11010	11028	18	LcBa4OZLeElnJksgbBEpQggitsh
2020-09-11_18_31__3358.Replay.Gbx	10960	10960	10979	19	LcBa4OZLeElnJksgbBEpQggitsh
2021-01-18_21_14__23812.Replay.Gbx	8295	8295	8314	19	vTqUpE1iiXupNABp5Mfx0YOf33j
2021-02-04_14_14__26536.Replay.Gbx	11186	11186	11205	19	LcBa4OZLeElnJksgbBEpQggitsh
2021-06-09_20_13__41909.Replay.Gbx	11250	11231	11250	19	AJFJd6yABuSMfgJGc8UpWRwUVa0
2021-01-28_14_21__25473.Replay.Gbx	11109	11109	11129	20	LcBa4OZLeElnJksgbBEpQggitsh
2021-04-02_16_48__32794.Replay.Gbx	11212	11212	11232	20	LcBa4OZLeElnJksgbBEpQggitsh
2021-06-11_17_46__45733.Replay.Gbx	11218	11198	11218	20	LcBa4OZLeElnJksgbBEpQggitsh
2021-07-08_19_39__46206.Replay.Gbx	11169	11149	11169	20	LcBa4OZLeElnJksgbBEpQggitsh
2021-05-06_12_37__38164.Replay.Gbx	11116	11116	11138	22	LcBa4OZLeElnJksgbBEpQggitsh
2020-11-05_16_41__13828.Replay.Gbx	11289	11289	11312	23	LcBa4OZLeElnJksgbBEpQggitsh
2021-03-12_16_50__30046.Replay.Gbx	10536	10536	10560	24	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-10-28_13_03__60794.Replay.Gbx	18298	18252	18285	33	hTCuBSCAtFY6IQpFAWBFRhEAMW0
2021-02-15_13_23__27552.Replay.Gbx	8262	8262	8304	42	vTqUpE1iiXupNABp5Mfx0YOf33j
2021-10-04_17_59__58643.Replay.Gbx	14738	14680	14738	58	xicnjunizfo5ZFTjSgj2Yn6qey3
2021-02-15_13_23__27556.Replay.Gbx	11807	11807	11933	126	DyNBxhQ6006991FwvVOaBX9Gcv1
2021-06-03_13_02__49706.Replay.Gbx	10498	10498	10625	127	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
