#tmauto-artifact 1
#map_uid buNzfsVlp2NF2oWtHM3729dEylg
#map_sha256 17cfebb228862cc4fe3d6cbb81c80d59e5f87bca9bafb5c2aa5e4136a10d145b
#container_ticks 4200
#prefix 153
#declared_ms 41800
#declared_cps 20900,41800
#template wobble7919 gas=on ticks=9000
#tape_sha256 09cf59fff006646b8ea56f2a3fb21e8782d7a027d0013cc62af1fb6219513dba
#file_sha256 fa0b9e6648d3de2bc4ec8c16de7d3db16156e0d22e6e5c868700548507f08bba
#producer tmauto optimize
#parent d059e58e4d562f8390ef96c08ea3977242148d554d82b3cedcca57efd7eccc26
#parent_path /var/svcscm/persistent/private-30d/tm-autopilot/C2-drive/bank-summer01/summer01-finish-36698.artifact.tsv
#cut n/a
#macro_steer n/a
#note (1+lambda) hill climb on finish time, plain oracle only, no memory readout; server-simulated finish 36.618 at the moment of banking
tick	steer	gas	brake	respawn
1987	-127	1	0	0
1988	-127	1	0	0
1989	-127	1	0	0
1990	-127	1	0	0
1991	-127	1	0	0
1992	-127	1	0	0
1993	-127	1	0	0
1994	-127	1	0	0
1995	-127	1	0	0
1996	-127	1	0	0
1997	-127	1	0	0
1998	-127	1	0	0
1999	-127	1	0	0
2000	-127	1	0	0
2001	-127	1	0	0
2002	-127	1	0	0
2003	-127	1	0	0
2004	-127	1	0	0
2005	-127	1	0	0
2006	-127	1	0	0
2007	-127	1	0	0
2008	-127	1	0	0
2009	-127	1	0	0
2010	-127	1	0	0
2011	-127	1	0	0
2012	-127	1	0	0
2013	-127	1	0	0
2014	-127	1	0	0
2015	-127	1	0	0
2016	-127	1	0	0
2017	-127	1	0	0
2018	-127	1	0	0
2019	-127	1	0	0
2020	-127	1	0	0
2021	-127	1	0	0
2022	-127	1	0	0
2023	-127	1	0	0
2024	-127	1	0	0
2025	-127	1	0	0
2026	-127	1	0	0
2027	-127	1	0	0
2028	-127	1	0	0
2029	-127	1	0	0
2030	-127	1	0	0
2031	-127	1	0	0
2032	-127	1	0	0
2033	-127	1	0	0
2034	-127	1	0	0
2035	-127	1	0	0
2036	-127	1	0	0
2037	0	1	0	0
2038	0	1	0	0
2039	0	1	0	0
2040	0	1	0	0
2041	0	1	0	0
2042	0	1	0	0
2043	0	1	0	0
2044	0	1	0	0
2045	0	1	0	0
2046	0	1	0	0
2047	0	1	0	0
2048	0	1	0	0
2049	0	1	0	0
2050	0	1	0	0
2051	0	1	0	0
2052	0	1	0	0
2053	0	1	0	0
2054	0	1	0	0
2055	0	1	0	0
2056	0	1	0	0
2057	0	1	0	0
2058	0	1	0	0
2059	0	1	0	0
2060	0	1	0	0
2061	0	1	0	0
2062	0	1	0	0
2063	0	1	0	0
2064	0	1	0	0
2065	0	1	0	0
2066	0	1	0	0
2067	0	1	0	0
2068	0	1	0	0
2069	0	1	0	0
2070	0	1	0	0
2071	0	1	0	0
2072	0	1	0	0
2073	0	1	0	0
2074	0	1	0	0
2075	0	1	0	0
2076	0	1	0	0
2077	0	1	0	0
2078	0	1	0	0
2079	0	1	0	0
2080	0	1	0	0
2081	0	1	0	0
2082	0	1	0	0
2083	0	1	0	0
2084	0	1	0	0
2085	0	1	0	0
2086	0	1	0	0
2087	0	1	0	0
2088	0	1	0	0
2089	0	1	0	0
2090	0	1	0	0
2091	0	1	0	0
2092	0	1	0	0
2093	0	1	0	0
2094	0	1	0	0
2095	0	1	0	0
2096	0	1	0	0
2097	0	1	0	0
2098	0	1	0	0
2099	0	1	0	0
2100	0	1	0	0
2101	0	1	0	0
2102	0	1	0	0
2103	-17	1	0	0
2104	-17	1	0	0
2105	-17	1	0	0
2106	-17	1	0	0
2107	-17	1	0	0
2108	-17	1	0	0
2109	-17	1	0	0
2110	-17	1	0	0
2111	-17	1	0	0
2112	-17	1	0	0
2113	-17	1	0	0
2114	-17	1	0	0
2115	-17	1	0	0
2116	-17	1	0	0
2117	-17	1	0	0
2118	-17	1	0	0
2119	-17	1	0	0
2120	-17	1	0	0
2121	-17	1	0	0
2122	-17	1	0	0
2123	-17	1	0	0
2124	-17	1	0	0
2125	-17	1	0	0
2126	-17	1	0	0
2127	-17	1	0	0
2128	-17	1	0	0
