time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
2500,1578.2,10.035,831.899,152.312,42.309,-5.39783,-1.94787,41.918,-0.122399,0.00215985,0.00178334,-0.00102337,-0.0611621,-0.000956047,0.998127,2,77,-0.00392157,1,0,-0.0305176,True,True,0.0392157,0.00784314,0.00784314,-0.00784314,-0.00784314
2550,1577.93,10.041,834.085,163.847,45.5131,-5.5532,-0.830322,45.1654,-0.121725,0.0243746,-0.0116224,-0.0125176,-0.0607487,0.00505698,0.998062,3,82,-0.00392157,1,0,-0.0610352,True,True,0,0.0392157,0.054902,-0.00784314,0.00784314
2600,1577.65,10.025,836.4,173.631,48.2309,-5.88481,-0.879904,47.8625,-0.121028,0.012538,-0.00903667,-0.00653064,-0.060447,0.00413049,0.998141,3,79,-0.00392157,1,0,-0.0610352,True,True,0,0.0392157,0.0235294,-0.00784314,0.00784314
2650,1577.35,10.003,838.849,183.448,50.9579,-6.27897,-0.310899,50.5686,-0.120705,-0.000576318,-0.000237471,0.000280473,-0.060316,0.0001359,0.998179,3,72,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,-0.00784314,-0.00784314
2700,1577.03,10.009,841.447,194.792,54.109,-6.67336,0.165112,53.6956,-0.120443,-0.00251384,0.00347135,0.0013591,-0.060183,-0.00165687,0.998185,3,73,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,-0.00784314,0.00784314,-0.00784314
2750,1576.7,10.012,844.206,204.984,56.9401,-7.02253,0.173751,56.5051,-0.120209,0.00230127,0.00458432,-0.00101087,-0.0600707,-0.00235713,0.998191,3,76,-0.00392157,1,0,-0.0305176,True,True,0,-0.00784314,0.00784314,-0.00784314,-0.00784314
2800,1576.35,10.018,847.083,212.286,58.9683,-7.266,0.359771,58.5178,-0.120049,0.00977115,0.00355948,-0.00476999,-0.0599963,-0.0020695,0.998185,3,80,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.0235294,-0.00784314,-0.00784314
2850,1575.99,10.025,850.062,219.847,61.0687,-7.53172,0.18635,60.6022,-0.119945,0.0162731,0.00255639,-0.00804521,-0.0599451,-0.00176336,0.998168,3,82,-0.00392157,1,0,-0.0305176,True,True,0,0.0392157,0.0392157,-0.00784314,-0.00784314
2900,1575.62,10.03,853.145,227.223,63.1176,-7.78442,0.192602,62.6355,-0.119882,0.0200173,0.00175709,-0.00993787,-0.0599109,-0.00147631,0.998153,3,86,-0.00392157,1,0,-0.0305176,True,True,0,0.0392157,0.054902,-0.00784314,-0.00784314
2950,1575.23,10.03,856.328,234.612,65.17,-8.03755,-0.198865,64.6722,-0.119943,0.0203261,0.0010337,-0.0101136,-0.0599377,-0.00112491,0.99815,3,88,0.152941,1,0,-0.0915527,True,True,0,0.054902,0.054902,-0.00784314,-0.00784314
3000,1574.83,10.027,859.604,240.792,66.8867,-8.24926,-0.204103,66.3757,-0.122039,0.0174994,0.000801002,-0.0087089,-0.060983,-0.000933246,0.9981,4,87,0.184314,1,0,-0.0915527,True,True,0,0.0392157,0.0392157,-0.00784314,-0.00784314
3050,1574.42,10.022,862.963,247.135,68.6485,-9.30822,-0.230304,68.0142,-0.125906,0.0126636,0.00127937,-0.00627895,-0.0629144,-0.00103669,0.997999,4,80,0.207843,1,0,-0.0610352,True,True,0,0.0235294,0.0235294,-0.00784314,-0.00784314
3100,1573.97,10.016,866.405,253.138,70.316,-9.53432,-0.235898,69.6663,-0.132039,0.00769266,0.00299096,-0.00373928,-0.0659768,-0.00174592,0.997813,4,72,0.45098,1,0,-0.12207,True,True,0.0392157,0.00784314,0.0235294,-0.00784314,-0.00784314
3150,1573.48,10.014,869.93,259.806,72.1682,-10.6688,-0.263967,71.3748,-0.142637,0.00412461,0.00642556,-0.00182811,-0.0712642,-0.00335153,0.99745,4,67,0.576471,1,0,-0.12207,True,True,0.239216,0.00784314,0.00784314,-0.00784314,-0.00784314
3200,1572.93,10.016,873.545,267.183,74.2175,-12.7834,0.316286,73.1076,-0.159163,0.00331302,0.0115273,-0.00119305,-0.0795056,-0.00587702,0.996816,4,69,0.937255,1,0,-0.183105,True,True,0.439216,-0.00784314,0.00784314,0.00784314,-0.00784314
3250,1572.29,10.024,877.252,274.495,76.2487,-14.0609,0.347894,74.9402,-0.183833,0.00516955,0.0181978,-0.00173862,-0.0918063,-0.00929743,0.995732,4,71,1,1,0,-0.0915527,True,True,0.639216,0.00784314,0.0235294,0.0235294,-0.00784314
3300,1571.54,10.034,881.041,282.008,78.3354,-17.291,0.427814,76.4021,-0.215238,0.00795456,0.0261375,-0.00255029,-0.107453,-0.0134194,0.994116,4,73,1,1,0,0.0610352,True,True,0.839216,0.00784314,0.054902,0.0235294,-0.00784314
3350,1570.64,10.044,884.903,288.569,80.158,-19.621,0.485464,77.718,-0.250767,0.010121,0.0345231,-0.00286161,-0.125122,-0.0177569,0.991978,4,74,0.662745,1,0,0.305176,True,True,0,0.00784314,0.0705882,0.0392157,-0.00784314
3400,1569.61,10.049,888.782,289.436,80.3989,-22.5573,-0.558113,77.1676,-0.285083,0.00886966,0.0415555,-0.00143758,-0.142118,-0.0211944,0.989622,4,75,0.521569,1,0,0.396729,True,True,0,0.00784314,0.0862745,0.054902,-0.00784314
3450,1568.44,10.047,892.637,290.596,80.7211,-25.5054,-0.631055,76.5831,-0.31666,0.00387488,0.0464153,0.00174608,-0.157671,-0.0232205,0.987217,4,75,1,1,0,0.152588,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
3500,1567.14,10.042,896.465,291.761,81.0446,-28.4415,-0.7037,75.8869,-0.350935,0.000301125,0.0457059,0.00384085,-0.174526,-0.0225264,0.984387,4,75,1,1,0,0.152588,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
3550,1565.69,10.038,900.262,292.93,81.3695,-31.3614,-0.775945,75.0789,-0.388507,-0.000253033,0.0415707,0.00413611,-0.19299,-0.0203685,0.980981,4,76,0.913725,1,0,0.213623,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
3600,1564.11,10.035,904.017,294.104,81.6956,-34.261,-0.847685,74.1595,-0.427217,-4.01792e-05,0.0376861,0.00401389,-0.21195,-0.0184094,0.977099,4,76,0.772549,1,0,0.335693,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
3650,1562.37,10.033,907.723,295.283,82.023,-37.1359,-0.918816,73.1291,-0.465008,0.000286647,0.0354386,0.00394313,-0.230381,-0.0172746,0.972939,4,76,0.74902,1,0,0.305176,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
3700,1560.49,10.033,911.376,296.466,82.3518,-39.9942,-4.89788e-15,71.988,-0.501561,0.000695605,0.0350258,0.00400892,-0.248128,-0.0170505,0.968569,4,77,0.686275,1,0,0.335693,True,True,0,-0.00784314,0.054902,0.0392157,-0.00784314
3750,1558.47,10.035,914.972,297.357,82.5992,-42.7653,-5.23724e-15,70.6665,-0.53676,0.00106484,0.0359907,0.00425828,-0.265136,-0.0174913,0.964043,4,77,0.937255,1,0,0.213623,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
3800,1556.31,10.037,918.504,298.549,82.9303,-45.5392,-5.57694e-15,69.3081,-0.57352,0.00145022,0.0379954,0.00467772,-0.282808,-0.0184259,0.958988,4,77,1,1,0,0.183105,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
3850,1554.01,10.039,921.966,299.746,83.2626,-48.2716,-5.91157e-15,67.8418,-0.612375,0.00180351,0.0403165,0.00521615,-0.301381,-0.0194911,0.95329,4,78,1,1,0,0.244141,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
3900,1551.57,10.042,925.346,300.646,83.5128,-50.9076,-6.23439e-15,66.2027,-0.652956,0.00214588,0.042675,0.00582656,-0.320658,-0.0205528,0.946954,4,78,1,1,0,0.274658,True,True,0,-0.00784314,0.0705882,0.054902,-0.00784314
3950,1548.99,10.044,928.637,301.851,83.8475,-53.5423,-6.55704e-15,64.5262,-0.694714,0.00240289,0.0447003,0.00647824,-0.340354,-0.0214224,0.940031,4,78,1,1,0,0.305176,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4000,1546.26,10.046,931.828,302.758,84.0994,-56.8381,-6.96066e-15,61.9851,-0.737183,0.0025964,0.0461277,0.00709848,-0.360234,-0.0219804,0.932576,4,78,1,1,0,0.335693,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4050,1543.38,10.046,934.911,303.971,84.4365,-59.3171,-1.46762,60.0737,-0.780179,0.00277685,0.0467345,0.00760126,-0.380197,-0.0221375,0.924609,4,79,1,1,0,0.335693,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4100,1540.37,10.046,937.878,304.885,84.6902,-62.4014,-1.54394,57.2373,-0.823687,0.00285864,0.0467166,0.00803998,-0.40022,-0.0219751,0.91612,4,79,1,1,0,0.335693,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4150,1537.22,10.046,940.721,306.107,85.0296,-64.7396,-1.60179,55.1023,-0.867404,0.00290566,0.046255,0.00840005,-0.420151,-0.0215947,0.907159,4,79,1,1,0,0.366211,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4200,1533.94,10.046,943.433,307.026,85.2851,-67.587,-1.67224,51.988,-0.91131,0.00297232,0.0456626,0.00871182,-0.439966,-0.0211538,0.897723,4,80,1,1,0,0.366211,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4250,1530.52,10.045,946.007,308.257,85.6269,-69.7683,-8.54415e-15,49.6424,-0.955294,0.00295508,0.0453062,0.00910064,-0.459602,-0.020795,0.887835,4,80,1,1,0,0.366211,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4300,1526.99,10.045,948.437,309.183,85.8842,-72.3546,-8.86089e-15,46.2699,-0.999354,0.00298027,0.0452486,0.00953165,-0.479048,-0.0205702,0.877496,4,80,1,1,0,0.366211,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4350,1523.34,10.046,950.716,310.422,86.2284,-74.8531,-9.16686e-15,42.806,-1.04349,0.00300648,0.045594,0.0100579,-0.498293,-0.0205111,0.866708,4,80,1,1,0,0.366211,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4400,1519.58,10.046,952.839,311.355,86.4875,-76.6191,-9.38313e-15,40.1199,-1.08771,0.00305607,0.0461854,0.0106407,-0.517329,-0.0205495,0.855474,4,81,1,1,0,0.396729,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4450,1515.72,10.047,954.8,312.291,86.7474,-78.7453,-9.64352e-15,36.3907,-1.13192,0.00304485,0.046883,0.0112841,-0.53611,-0.0206006,0.843822,4,81,1,1,0,0.396729,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4500,1511.76,10.047,956.596,313.542,87.095,-80.3619,-9.84149e-15,33.5785,-1.17604,0.00306719,0.0474577,0.0118858,-0.55459,-0.0205918,0.831784,4,81,1,1,0,0.396729,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4550,1507.71,10.048,958.22,314.484,87.3567,-82.1703,-1.0063e-14,29.652,-1.22027,0.00297697,0.0478823,0.0124968,-0.572842,-0.0204721,0.819315,4,82,1,1,0,0.396729,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4600,1503.58,10.048,959.669,315.429,87.6192,-83.4637,-1.02214e-14,26.6632,-1.26441,0.00299503,0.0479047,0.0129448,-0.590783,-0.0202057,0.806474,4,82,1,1,0,0.396729,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4650,1499.38,10.048,960.938,316.693,87.9704,-85.0196,-1.04119e-14,22.5932,-1.30855,0.00303485,0.0477728,0.0133317,-0.608438,-0.0198749,0.79324,4,82,1,1,0,0.396729,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4700,1495.11,10.047,962.025,317.645,88.2347,-86.057,-1.05389e-14,19.482,-1.35259,0.00303673,0.0475997,0.0137112,-0.62576,-0.0195096,0.779651,4,82,0.811765,1,0,0.457764,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4750,1490.78,10.046,962.936,318.918,88.5883,-87.2635,-1.06867e-14,15.2633,-1.39388,0.00291695,0.0465335,0.0138149,-0.641728,-0.0187754,0.766578,4,83,0.301961,1,0,0.671387,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
4800,1486.41,10.044,963.688,319.876,88.8545,-87.8507,-2.1736,13.1396,-1.42735,0.0026991,0.043673,0.0132734,-0.654484,-0.0173893,0.75576,4,83,0.223529,1,0,0.579834,True,True,0,-0.00784314,0.0705882,0.054902,-0.00784314
4850,1482,10.039,964.305,321.158,89.2106,-88.6313,-2.19292,9.9101,-1.45338,0.00261487,0.0385118,0.0118158,-0.664296,-0.015259,0.747221,4,83,-0.00392157,1,0,0.518799,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
4900,1477.56,10.032,964.819,322.445,89.5682,-89.1028,-2.20458,8.84812,-1.47235,0.00245961,0.0306147,0.00936656,-0.671392,-0.0121686,0.740944,4,84,-0.00392157,1,0,0.366211,True,True,0,-0.00784314,0.054902,0.0392157,-0.00784314
4950,1473.09,10.023,965.254,323.738,89.9272,-89.5629,-2.21597,7.77611,-1.48582,0.00244372,0.0213568,0.0063232,-0.676404,-0.00869095,0.736452,4,84,-0.00392157,1,0,0.274658,True,True,0,-0.00784314,0.0235294,0.0235294,-0.00784314
