time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
9100,1108.18,10.03,1016.01,348.603,96.8342,-78.8757,1.95154,56.1398,-0.94295,0.000903109,0.0302468,0.00646656,-0.454155,-0.013678,0.890794,5,70,-0.00392157,1,0,0.12207,True,True,0,-0.00784314,0.0392157,0.0392157,-0.00784314
9150,1104.23,10.041,1018.83,350,97.2223,-79.8827,1.97646,55.3807,-0.970419,0.00125278,0.0427402,0.00941215,-0.466299,-0.0191941,0.884369,5,70,-0.00392157,1,0,0.549316,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
9200,1100.2,10.047,1021.56,351.052,97.5144,-81.4966,9.98046e-15,53.5477,-0.990954,0.00144528,0.0493663,0.0110989,-0.475322,-0.022056,0.879465,5,70,1,1,0,0.305176,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
9250,1096.09,10.047,1024.21,352.107,97.8074,-83.0449,-1.01701e-14,51.6703,-1.01121,0.00176566,0.0491144,0.0111206,-0.484211,-0.0219099,0.874606,5,70,1,1,0,-0.0305176,True,True,0,-0.00784314,0.0705882,0.0705882,-0.00784314
9300,1091.91,10.042,1026.77,353.518,98.1994,-84.6095,-2.09341,49.7993,-1.03766,0.00203193,0.0431557,0.00981676,-0.495768,-0.0192404,0.868186,5,71,1,1,0,0.12207,True,True,0,-0.00784314,0.0705882,0.054902,-0.00784314
9350,1087.65,10.036,1029.23,354.58,98.4944,-86.6577,-2.14408,46.7654,-1.06891,0.0022058,0.0356536,0.00813102,-0.509308,-0.0159016,0.860399,5,71,1,1,0,0.213623,True,True,0,-0.00784314,0.054902,0.054902,-0.00784314
9400,1083.3,10.032,1031.55,355.645,98.7904,-88.0783,-1.07865e-14,44.741,-1.10367,0.00241667,0.0308669,0.00706183,-0.524205,-0.0137754,0.851451,5,71,1,1,0,0.305176,True,True,0,-0.00784314,0.0392157,0.0392157,-0.00784314
9450,1078.86,10.031,1033.74,356.714,99.0872,-89.9468,-1.10153e-14,41.5673,-1.13851,0.00246191,0.0302134,0.00710551,-0.538957,-0.0133873,0.842197,5,71,-1,1,0,0.701904,True,True,0,-0.00784314,0.0392157,0.0392157,-0.00784314
9500,1074.35,10.032,1035.8,358.144,99.4843,-91.312,-1.11825e-14,39.4874,-1.16285,0.00235503,0.0311001,0.00755603,-0.549163,-0.013641,0.83557,5,72,-1,1,0,0.946045,True,True,0,-0.00784314,0.0392157,0.0392157,-0.00784314
9550,1069.78,10.03,1037.8,359.22,99.7832,-92.0692,-1.12752e-14,38.4703,-1.16942,0.00226992,0.0292202,0.00711751,-0.551911,-0.0128089,0.833774,5,72,-1,1,0,0.610352,True,True,0,-0.00784314,0.0392157,0.0392157,-0.00784314
9600,1065.2,10.025,1039.79,360.299,100.083,-91.8334,-2.27214,39.725,-1.16154,0.00220175,0.0205169,0.00470803,-0.548646,-0.00918032,0.835991,5,72,-1,1,0,0.274658,True,True,0,-0.00784314,0.0235294,0.0235294,-0.00784314
9650,1060.62,10.018,1041.83,361.381,100.384,-91.6376,-1.12224e-14,40.9809,-1.1434,0.0022262,0.00202207,-0.000389066,-0.541064,-0.00145252,0.84098,5,72,-1,1,0,0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,-0.00784314
9700,1056.06,10.022,1043.97,362.83,100.786,-90.9312,2.24982,43.4083,-1.11804,0.000955588,-0.019853,-0.00566955,-0.530327,0.0081619,0.847735,5,72,-1,1,0,-0.152588,True,True,0,0.0235294,-0.00784314,-0.00784314,0.0235294
9750,1051.55,10.037,1046.23,363.92,101.089,-90.1,2.22925,45.7819,-1.08757,0.000831166,-0.0391811,-0.0104906,-0.517271,0.0165487,0.855598,5,73,-1,1,0,-0.244141,True,True,0,0.054902,-0.00784314,-0.00784314,0.054902
9800,1047.14,10.052,1048.62,358.144,99.4843,-86.9379,2.15102,48.3146,-1.05347,0.000167691,-0.056183,-0.0141926,-0.502512,0.0242385,0.864114,5,72,-1,0,0,-0.335693,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
9850,1042.88,10.062,1051.11,352.459,97.9052,-83.7614,1.02578e-14,50.6899,-1.01651,-0.00134241,-0.0671266,-0.0157446,-0.4864,0.0296416,0.873091,5,71,-1,0,0,-0.396729,True,True,0,0.101961,-0.00784314,-0.00784314,0.101961
9900,1038.78,10.067,1053.73,349.65,97.1251,-81.1713,-9.94062e-15,53.3339,-0.977545,-0.00277232,-0.06993,-0.015191,-0.469298,0.031515,0.882347,5,70,-1,1,0,-0.427246,True,True,0,0.101961,-0.00784314,-0.00784314,0.117647
9950,1034.78,10.063,1056.49,350.701,97.4169,-79.3504,-1.96329,56.4776,-0.937393,-0.00265761,-0.065172,-0.0135323,-0.451522,0.0296665,0.891664,5,70,-1,1,0,-0.457764,True,True,0,0.101961,-0.00784314,-0.00784314,0.101961
10000,1030.88,10.054,1059.43,351.755,97.7096,-76.6908,-1.89748,60.5152,-0.896458,-0.00223123,-0.0561259,-0.011155,-0.433228,0.0257707,0.900847,5,70,-1,1,0,-0.488281,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
