# frame	172
tick	steer	gas	brake
732	37	0	0
733	37	0	0
734	37	0	0
735	39	0	0
736	39	0	0
737	39	0	0
738	39	0	0
739	39	0	0
740	42	0	1
741	42	0	1
742	42	0	1
743	42	0	1
744	42	0	1
745	36	0	0
746	36	0	0
747	36	0	0
748	36	0	0
749	36	0	0
750	33	0	0
751	33	0	0
752	33	0	0
753	33	0	0
754	33	0	0
755	36	0	0
756	36	0	0
757	36	0	0
758	36	0	0
759	36	0	0
760	36	0	0
761	36	0	0
762	36	0	0
763	36	0	0
764	36	0	0
765	40	0	0
766	40	0	0
767	40	0	0
768	40	0	0
769	40	0	0
770	45	0	1
771	45	0	1
772	45	0	1
773	45	0	1
774	45	0	1
775	39	0	0
776	39	0	0
777	39	0	0
778	39	0	0
779	39	0	0
780	40	0	0
781	40	0	0
782	40	0	0
783	40	0	0
784	40	0	0
785	44	0	0
786	44	0	0
787	44	0	0
788	44	0	0
789	44	0	0
790	49	0	0
791	49	0	0
792	49	0	0
793	49	0	0
794	49	0	0
795	51	0	0
796	51	0	0
797	51	0	0
798	51	0	0
799	51	0	0
800	56	0	1
801	56	0	1
802	56	0	1
803	56	0	1
804	56	0	1
805	47	1	0
806	47	1	0
807	47	1	0
808	47	1	0
809	47	1	0
810	54	0	0
811	54	0	0
812	54	0	0
813	54	0	0
814	54	0	0
815	60	0	0
816	60	0	0
817	60	0	0
818	60	0	0
819	60	0	0
820	63	0	0
821	63	0	0
822	63	0	0
823	63	0	0
824	63	0	0
825	65	0	0
826	65	0	0
827	65	0	0
828	65	0	0
829	65	0	0
830	67	0	0
831	67	0	0
832	67	0	0
833	67	0	0
834	67	0	0
835	70	0	0
836	70	0	0
837	70	0	0
838	70	0	0
839	70	0	0
840	70	0	0
841	70	0	0
842	70	0	0
843	70	0	0
844	70	0	0
845	69	0	0
846	69	0	0
847	69	0	0
848	69	0	0
849	69	0	0
850	73	0	0
851	73	0	0
852	73	0	0
853	73	0	0
854	73	0	0
855	70	0	0
856	70	0	0
857	70	0	0
858	70	0	0
859	70	0	0
860	67	0	0
861	67	0	0
862	67	0	0
863	67	0	0
864	67	0	0
865	70	0	0
866	70	0	0
867	70	0	0
868	70	0	0
869	70	0	0
870	66	0	0
871	66	0	0
872	66	0	0
873	66	0	0
874	66	0	0
875	61	1	0
876	61	1	0
877	61	1	0
878	61	1	0
879	61	1	0
880	65	0	0
881	65	0	0
882	65	0	0
883	65	0	0
884	65	0	0
885	62	0	0
886	62	0	0
887	62	0	0
888	62	0	0
889	62	0	0
890	56	1	0
891	56	1	0
892	56	1	0
893	56	1	0
894	56	1	0
895	55	1	0
896	55	1	0
897	55	1	0
898	55	1	0
899	55	1	0
900	54	0	0
901	54	0	0
902	54	0	0
903	54	0	0
904	54	0	0
905	49	1	0
906	49	1	0
907	49	1	0
908	49	1	0
909	49	1	0
910	47	1	0
911	47	1	0
912	47	1	0
913	47	1	0
914	47	1	0
915	41	1	0
916	41	1	0
917	41	1	0
918	41	1	0
919	41	1	0
920	40	1	0
921	40	1	0
922	40	1	0
923	40	1	0
924	40	1	0
925	36	1	0
926	36	1	0
927	36	1	0
928	36	1	0
929	36	1	0
930	34	1	0
931	34	1	0
932	34	1	0
933	34	1	0
934	34	1	0
935	29	1	0
936	29	1	0
937	29	1	0
938	29	1	0
939	29	1	0
940	23	1	0
941	23	1	0
942	23	1	0
943	23	1	0
944	23	1	0
945	12	1	0
946	12	1	0
947	12	1	0
948	12	1	0
949	12	1	0
950	3	1	0
951	3	1	0
952	3	1	0
953	3	1	0
954	3	1	0
955	-12	0	0
956	-12	0	0
957	-12	0	0
958	-12	0	0
959	-12	0	0
960	-22	0	0
961	-22	0	0
962	-22	0	0
963	-22	0	0
964	-22	0	0
965	-30	0	0
966	-30	0	0
967	-30	0	0
968	-30	0	0
969	-30	0	0
970	-36	0	0
971	-36	0	0
972	-36	0	0
973	-36	0	0
974	-36	0	0
975	-38	0	1
976	-38	0	1
977	-38	0	1
978	-38	0	1
979	-38	0	1
980	-32	0	0
981	-32	0	0
982	-32	0	0
983	-32	0	0
984	-32	0	0
985	-27	0	0
986	-27	0	0
987	-27	0	0
988	-27	0	0
989	-27	0	0
990	-26	0	0
991	-26	0	0
992	-26	0	0
993	-26	0	0
994	-26	0	0
995	-20	0	0
996	-20	0	0
997	-20	0	0
998	-20	0	0
999	-20	0	0
1000	-14	0	1
1001	-14	0	1
1002	-14	0	1
1003	-14	0	1
1004	-14	0	1
1005	-9	1	0
1006	-9	1	0
1007	-9	1	0
1008	-9	1	0
1009	-9	1	0
1010	-4	1	0
1011	-4	1	0
1012	-4	1	0
1013	-4	1	0
1014	-4	1	0
1015	-1	1	0
1016	-1	1	0
1017	-1	1	0
1018	-1	1	0
1019	-1	1	0
1020	-1	1	0
1021	-1	1	0
1022	-1	1	0
1023	-1	1	0
1024	-1	1	0
1025	-9	0	0
1026	-9	0	0
1027	-9	0	0
1028	-9	0	0
1029	-9	0	0
1030	-15	0	0
1031	-15	0	0
1032	-15	0	0
1033	-15	0	0
1034	-15	0	0
1035	-21	0	0
1036	-21	0	0
1037	-21	0	0
1038	-21	0	0
1039	-21	0	0
1040	-29	0	1
1041	-29	0	1
1042	-29	0	1
1043	-29	0	1
1044	-29	0	1
1045	-27	0	0
1046	-27	0	0
1047	-27	0	0
1048	-27	0	0
1049	-27	0	0
1050	-26	0	0
1051	-26	0	0
1052	-26	0	0
1053	-26	0	0
1054	-26	0	0
1055	-28	0	0
1056	-28	0	0
1057	-28	0	0
1058	-28	0	0
1059	-28	0	0
1060	-28	0	1
1061	-28	0	1
1062	-28	0	1
1063	-28	0	1
1064	-28	0	1
1065	-24	0	0
1066	-24	0	0
1067	-24	0	0
1068	-24	0	0
1069	-24	0	0
1070	-23	1	0
1071	-23	1	0
1072	-23	1	0
1073	-23	1	0
1074	-23	1	0
1075	-23	0	0
1076	-23	0	0
1077	-23	0	0
1078	-23	0	0
1079	-23	0	0
1080	-21	0	1
1081	-21	0	1
1082	-21	0	1
1083	-21	0	1
1084	-21	0	1
1085	-17	1	0
1086	-17	1	0
1087	-17	1	0
1088	-17	1	0
1089	-17	1	0
1090	-15	1	0
1091	-15	1	0
1092	-15	1	0
1093	-15	1	0
1094	-15	1	0
1095	-13	1	0
1096	-13	1	0
1097	-13	1	0
1098	-13	1	0
1099	-13	1	0
1100	-12	1	0
1101	-12	1	0
1102	-12	1	0
1103	-12	1	0
1104	-12	1	0
1105	-11	1	0
1106	-11	1	0
1107	-11	1	0
1108	-11	1	0
1109	-11	1	0
1110	-11	1	0
1111	-11	1	0
1112	-11	1	0
1113	-11	1	0
1114	-11	1	0
1115	-12	1	0
1116	-12	1	0
1117	-12	1	0
1118	-12	1	0
1119	-12	1	0
1120	-13	1	0
1121	-13	1	0
1122	-13	1	0
1123	-13	1	0
1124	-13	1	0
1125	-15	1	0
1126	-15	1	0
1127	-15	1	0
1128	-15	1	0
1129	-15	1	0
1130	-15	1	0
1131	-15	1	0
1132	-15	1	0
1133	-15	1	0
1134	-15	1	0
1135	-15	1	0
1136	-15	1	0
1137	-15	1	0
1138	-15	1	0
1139	-15	1	0
1140	-14	1	0
1141	-14	1	0
1142	-14	1	0
1143	-14	1	0
1144	-14	1	0
1145	-13	1	0
1146	-13	1	0
1147	-13	1	0
1148	-13	1	0
1149	-13	1	0
1150	-12	1	0
1151	-12	1	0
1152	-12	1	0
1153	-12	1	0
1154	-12	1	0
1155	-10	1	0
1156	-10	1	0
1157	-10	1	0
1158	-10	1	0
1159	-10	1	0
1160	-9	1	0
1161	-9	1	0
1162	-9	1	0
1163	-9	1	0
1164	-9	1	0
1165	-7	0	0
1166	-7	0	0
1167	-7	0	0
1168	-7	0	0
1169	-7	0	0
1170	-5	0	1
1171	-5	0	1
1172	-5	0	1
1173	-5	0	1
1174	-5	0	1
1175	-3	0	0
1176	-3	0	0
1177	-3	0	0
1178	-3	0	0
1179	-3	0	0
1180	-2	1	0
1181	-2	1	0
1182	-2	1	0
1183	-2	1	0
1184	-2	1	0
1185	0	0	0
1186	0	0	0
1187	0	0	0
1188	0	0	0
1189	0	0	0
1190	1	0	1
1191	1	0	1
1192	1	0	1
1193	1	0	1
1194	1	0	1
1195	1	0	0
1196	1	0	0
1197	1	0	0
1198	1	0	0
1199	1	0	0
1200	2	1	0
1201	2	1	0
1202	2	1	0
1203	2	1	0
1204	2	1	0
1205	1	0	0
1206	1	0	0
1207	1	0	0
1208	1	0	0
1209	1	0	0
1210	0	0	1
1211	0	0	1
1212	0	0	1
1213	0	0	1
1214	0	0	1
1215	0	0	0
1216	0	0	0
1217	0	0	0
1218	0	0	0
1219	0	0	0
1220	-1	0	0
1221	-1	0	0
1222	-1	0	0
1223	-1	0	0
1224	-1	0	0
1225	-3	0	0
1226	-3	0	0
1227	-3	0	0
1228	-3	0	0
1229	-3	0	0
1230	-8	0	0
1231	-8	0	0
1232	-8	0	0
1233	-8	0	0
1234	-8	0	0
1235	-14	0	1
1236	-14	0	1
1237	-14	0	1
1238	-14	0	1
1239	-14	0	1
1240	-13	0	0
1241	-13	0	0
1242	-13	0	0
1243	-13	0	0
1244	-13	0	0
1245	-19	0	0
1246	-19	0	0
1247	-19	0	0
1248	-19	0	0
1249	-19	0	0
1250	-26	0	0
1251	-26	0	0
1252	-26	0	0
1253	-26	0	0
1254	-26	0	0
1255	-35	0	0
1256	-35	0	0
1257	-35	0	0
1258	-35	0	0
1259	-35	0	0
1260	-45	0	1
1261	-45	0	1
